"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"58","580_Yamaguchi, T., Honda, R., Matsui, H., & Nishi, H. (2017). Sexual shape dimorphism and selection pressure on males in fossil ostracodes. Paleobiology, 43(3), 407-424.","Yamaguchi, T., Honda, R., Matsui, H., & Nishi, H. (2017). Sexual shape dimorphism and selection pressure on males in fossil ostracodes. Paleobiology, 43(3), 407-424.",23,580,"h00"," 0.000000","49.656649"," 1.845981","25.493886"," 1.742357","20.432889"," 3.678414"
"59","581_Yamaguchi, T., Honda, R., Matsui, H., & Nishi, H. (2017). Sexual shape dimorphism and selection pressure on males in fossil ostracodes. Paleobiology, 43(3), 407-424.","Yamaguchi, T., Honda, R., Matsui, H., & Nishi, H. (2017). Sexual shape dimorphism and selection pressure on males in fossil ostracodes. Paleobiology, 43(3), 407-424.",23,581,"h00"," 0.000000","43.760684"," 1.078889","19.284692"," 1.014879","16.610970"," 3.008602"
"60","637_Weimin Si, William A. Berggren, Marie-Pierre Aubry; Mosaic evolution in the middle Miocene planktonic foraminifera Fohsella lineage. Paleobiology 2018;; 44 (2): 263–272. doi:","Weimin Si, William A. Berggren, Marie-Pierre Aubry; Mosaic evolution in the middle Miocene planktonic foraminifera Fohsella lineage. Paleobiology 2018;; 44 (2): 263–272. doi:",26,637,"hm0"," 3.621467","28.342456"," 0.000000"," 7.672393"," 1.228972"," 8.498216"," 1.811339"
"61","764_Moe SJ, Nater CR, Rustadbakken A, V llestad LA, Lund E, Qvenild T, Hegge O, Aass P. Long-term mark-recapture and growth data for large-sized migratory brown trout (Salmo trutta) from Lake Mj sa, Norway. Biodivers Data J. 2020 May 28;8:e52157. doi: 10.3897/BDJ.8.e52157. PMID: 32547304; PMCID: PMC7272476.","Moe SJ, Nater CR, Rustadbakken A, V llestad LA, Lund E, Qvenild T, Hegge O, Aass P. Long-term mark-recapture and growth data for large-sized migratory brown trout (Salmo trutta) from Lake Mj sa, Norway. Biodivers Data J. 2020 May 28;8:e52157. doi: 10.3897/BDJ.8.e52157. PMID: 32547304; PMCID: PMC7272476.",26,764,"h00","0.000000e+00","9.272583e-13","2.000000e+00","2.486900e-14","2.000000e+00","2.000000e+00","4.000000e+00"
"62","858_Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.","Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.",26,858,"00b","3.832880","7.995651","3.273944","0.000000","1.895335","2.000000","3.895335"
"63","875_Jensen, A. J., Hagen, I. J., Czorlich, Y., Bolstad, G. H., Bremset, G., Finstad, B., Hindar, K., & Karlsson, S. (2022). Large-effect loci mediate rapid adaptation of salmon body size after river regulation. Proceedings of the National Academy of Sciences, 119(44), e2207634119.","Jensen, A. J., Hagen, I. J., Czorlich, Y., Bolstad, G. H., Bremset, G., Finstad, B., Hindar, K., & Karlsson, S. (2022). Large-effect loci mediate rapid adaptation of salmon body size after river regulation. Proceedings of the National Academy of Sciences, 119(44), e2207634119.",35,875,"0m0","4.849454e-13","0.000000e+00","2.000000e+00","2.286171e-12","2.000000e+00","2.000000e+00","4.000000e+00"
"64","887_Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.","Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.",22,887,"h00"," 0.000000","15.081641"," 2.000000"," 4.967425"," 1.996854"," 6.967425"," 3.933854"
"65","892_Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.","Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.",22,892,"hm0"," 3.9167777","17.9812083"," 0.0000000"," 1.4548619"," 0.6796616"," 3.4548619"," 1.9937403"
"66","897_Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.","Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.",27,897,"h00"," 0.000000","11.902187"," 2.000000"," 2.922486"," 1.927694"," 4.922486"," 3.927685"
"67","917_Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.","Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.",20,917,"hmb"," 0.2996340","29.2996423"," 2.2996180"," 7.2591375"," 0.4394618"," 9.2591373"," 0.0000000"
