"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"13","43_Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.","Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.",37,43,"00b","0.2191198","1.3714151","1.9450448","0.0000000","1.9048448","1.8668702","3.8347554"
"14","44_Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.","Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.",37,44,"h00","0.0000000","3.2332164","1.8741021","0.7139978","1.9459636","2.3475019","2.6817111"
"15","45_Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.","Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.",37,45,"h00","0.0000000","4.5498322","1.2793973","1.6509618","1.5103684","0.8337849","3.4729361"
"16","46_Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.","Brombacher, A., Wilson, P. A., Bailey, I., & Ezard, T. H. (2017). The breakdown of static and evolutionary allometries during climatic upheaval.<ca>The American Naturalist,<ca>190(3), 350-362.",37,46,"00b","0.01508958","0.87954485","1.84586463","0.00000000","1.87790795","1.93354577","3.60511373"
"17","47_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,47,"h00"," 0.000000","29.181786"," 1.563574","13.910525"," 1.258491","10.545891"," 3.126244"
"18","48_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,48,"h00"," 0.000000","12.409790"," 1.645429"," 1.900150"," 1.436933"," 2.251345"," 3.374010"
"19","49_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,49,"h00"," 0.000000","22.053744"," 1.934406"," 7.041220"," 1.827900"," 5.196546"," 3.720279"
"20","50_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,50,"hm0"," 4.1240502","41.4543460"," 0.0000000","22.8884195"," 0.9982396"," 9.7747159"," 1.8113728"
"21","51_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,51,"h00"," 0.000000","31.310579"," 1.062103","12.755346"," 1.714466"," 5.190774"," 2.165765"
"22","52_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,52,"00b"," 3.5881084","10.6764310"," 3.7808933"," 0.0000000"," 1.8350881"," 0.2973755"," 1.9041163"
"23","53_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,53,"h00"," 0.000000","21.573113"," 1.867070"," 8.539902"," 1.872827"," 6.442739"," 3.869934"
"24","54_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,54,"h00"," 0.000000","16.688155"," 1.139659"," 5.035023"," 1.549145"," 5.866371"," 2.531078"
"25","55_Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.","Campbell, N. A., and R. A. Reyment. 1978. Discriminant analysis of a Cretaceous foraminifer using shrunken estimators. Mathematical Geology 10:347-359.",23,55,"00b"," 2.414664","10.619982"," 2.018132"," 0.000000"," 1.240226"," 1.302264"," 3.127118"
"26","68_Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.","Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.",20,68,"hm0"," 0.2503865","26.0799107"," 0.0000000","10.2605254"," 1.2625291","10.8371384"," 0.2281021"
